sao	const	StarName	Mag	BV	MK	RA	DE	Distance	DblSep	DblPeriod	DblPA	VarName	VarType	PmRa	PmDec	ProperName	HIP	IAU	HD	DM	HR	WDS	PPM	SKY2K
126141	Del		6.696	.104		20h43'40.1185''	+5º23'24.734''	339.79						.00140	-.0035		102299	J204340.11+052324.7	197448	BD+04 4529 			170600	20430162
106456	Del		8.088	1.731	M3e-M6e	20h45'21.0380''	+16º23'57.230''							-.00080	.0180			J204521.03+162357.2	197772	BD+15 4245a				20450090
126179	Del		7.450	.998		20h45'28.0632''	+5º52'52.391''	466.85						.00610	-.0967		102439	J204528.06+055252.3	197737	BD+05 4600 			170659	20450119
106458	Del		6.830	1.393	M5II-III	20h45'28.2354''	+18º5'24.122''	1267.43						.00074	-.0099		102440	J204528.23+180524.1	197812	BD+17 4401 	7941		138959	20450122
106476	Del	12gam2Del	4.260	1.037	K1IV	20h46'39.5023''	+16º7'27.466''	103.71	9.600		267			-.00180	-.1963		102532	J204639.50+160727.4	197964	BD+15 4255 	7948	20467+1607	138996	20460139
106477	Del																							
126248	Del		7.740	.264		20h49'4.5389''	+6º5'2.074''	632.51						-.00037	-.0109		102739	J204904.53+060502.0	198271	BD+05 4619 			170765	20490020
106545	Del		10.220	.797		20h50'0.3145''	+10º26'30.108''	384.47						.00797	.1441			J205000.31+102630.1		BD+09 4647 			139104	20500205
126289	Del		8.910		K1III	20h51'3.7147''	+6º23'15.556''	69.44	3.300		335			.00030	.0010			J205103.71+062315.5	198569	BD+05 4632 		20511+0623	170828	20510007
126309	Del		8.030	.363		20h52'3.1584''	+7º34'56.793''	374.95						.00234	-.0134		102997	J205203.15+073456.7	198705	BD+07 4567 			170858	20520011
126323	Del		8.520	.373		20h52'44.5308''	+7º19'14.950''	537.63						.00267	-.0163			J205244.53+071914.9	198813	BD+06 4675 		20527+0720	170877	20520147
106665	Del	17    Del	5.190	1.116	K0III	20h55'36.6900''	+13º43'17.529''	484.50						.00126	-.0115		103294	J205536.69+134317.5	199253	BD+13 4572 	8011		139287	20550139
106666	Del	16    Del	5.540	.127	A4V	20h55'38.5718''	+12º34'6.809''	203.87	36.000		17			.00213	.0211		103298	J205538.57+123406.8	199254	BD+12 4501 	8012	20556+1234	139290	20550153
126417	Del		6.962	.981		20h57'59.7130''	+8º3'44.453''	795.54						.00252	-.0018		103483	J205759.71+080344.4	199583	BD+07 4591 			171047	20570215
106747	Del		5.710	1.558	M3IIIab	21h0'27.6874''	+19º19'46.491''	609.38	46.600		334			-.00120	-.0597		103675	J210027.68+191946.4	200044	BD+18 4675 	8044	21005+1920	139436	21000087
106778	Del		9.080	.646		21h2'12.1706''	+19º54'3.202''	194.93						.00025	.2234			J210212.17+195403.2		BD+19 4601 			139489	21020032
106792	Del		6.880	1.690		21h2'47.1765''	+15º58'1.614''	1683.50						-.00031	-.0029		103868	J210247.17+155801.6	200393	BD+15 4317 			139509	21020151
233457	Dor	gam Dor	4.260	.317	F0V	4h16'1.5856''	-51º29'11.933''	67.67				gam_Dor		.01077	.1842		19893	J041601.58-512911.9	27290	CD-51 1066 	1338		333343	4160004
233481	Dor		8.610	.462	F5IV	4h19'1.8967''	-52º56'41.291''	925.93						.00290	-.0120			J041901.89-525641.2	27656	CP-53  685 			333389	4190008
233504	Dor		7.530	.077	A1/2V	4h24'6.9024''	-57º15'11.384''	439.75						.00132	.0071		20543	J042406.90-571511.3	28248	CP-57  658 			333454	4240021
233506	Dor		6.810	.625	G4V	4h24'12.2076''	-57º4'16.812''	90.29	5.600		245			-.01279	-.0737		20552	J042412.20-570416.8	28255	CP-57  659 	1405	04242-5704	400063	4240039
233564	Dor	alp Dor	3.260	-.079	A0IIISi	4h33'59.7776''	-55º2'41.909''	179.60				alf_Dor	ACV	.00676	.0127		21281	J043359.77-550241.9	29305	CP-55  663 	1465	04340-5503	333592	4330149
249067	Dor		9.420	.020	B9.5V	4h36'49.2511''	-66º25'50.503''	2923.98						.00112	.0098		21483	J043649.25-662550.5	29794	CP-66  307 			354227	4360118
249071	Dor		8.960	1.272	K4III	4h38'31.7413''	-65º5'49.438''	277.78						.00353	.0049			J043831.74-650549.4	29943	CP-65  362 			354244	4380074
249072	Dor		6.780	.191	A5V	4h38'49.2771''	-62º22'42.722''	487.33						-.00035	.0307		21634	J043849.27-622242.7	29920	CP-62  376 			354248	4380113
233682	Dor		6.790	1.041	K0III	4h47'6.8636''	-59º8'13.508''	550.06						.00185	.0137		22240	J044706.86-590813.5	30790	CP-59  380 			333783	4470013
249118	Dor		8.560	.993	K0III	4h48'52.7382''	-64º23'17.123''	1650.17						.00127	.0233		22364	J044852.73-642317.1	31146	CP-64  371 			354342	4480155
233733	Dor		6.120	.432	F3V	4h54'53.0367''	-58º32'51.547''	102.94						.01290	.0683		22844	J045453.03-583251.5	31746	CP-58  437 	1597		333886	4540149
249147	Dor		9.690	.100	B/A(Ia)	4h55'11.0917''	-67º10'10.429''	490.20						.00064	.0003			J045511.09-671010.4	32034	CP-67  364 			354415	4550179
233760	Dor		8.260	.921	G5III/IV	4h57'37.4082''	-54º10'26.605''	879.51						-.00097	-.0104		23050	J045737.40-541026.6	32084	CP-54  739 			333932	4570099
249164	Dor		8.020	.250	A3mA6-F0	4h59'52.1435''	-68º34'55.105''	843.88						-.00235	.0214		23225	J045952.14-683455.1	32762	CP-68  300 			354472	4590122
249174	Dor		9.080	.460	F5IV/V	5h2'23.0920''	-64º54'17.559''	155.76	39.400		181			-.00940	.0180			J050223.09-645417.5	32987	CP-65  417 		05024-6454	354500	5020180
233822	Dor	zet Dor	4.710	.515	F7V	5h5'30.6558''	-57º28'21.734''	38.84						-.00395	.1174		23693	J050530.65-572821.7	33262	CP-57  735 	1674		334043	5050091
249194	Dor		8.760	.860	G8III/IV	5h6'21.3277''	-65º58'0.351''	406.50	1.100		25			-.00675	-.0099			J050621.32-655800.3	33578	CP-66  374 		05064-6558	354539	5060065
249196	Dor		8.880	-.180	B5pShell	5h7'12.9495''	-61º48'18.257''	1041.67						.00021	.0132			J050712.94-614818.2	33599	CP-61  411 			354550	5070037
249201	Dor		9.250	.503	F5V	5h8'51.8388''	-67º10'4.321''	4761.90						.00374	.0432			J050851.83-671004.3	33986	CP-67  392 			354562	5080169
249203	Dor		9.840	.234	A3IV/V	5h9'11.3108''	-66º10'24.294''	220.75						.00051	.0222			J050911.31-661024.2	34003	CP-66  378 			354565	5090183
249222	Dor		9.370	.828	G6III/IVp	5h13'51.0707''	-64º28'8.619''	7936.51						.00070	.0039		24383	J051351.07-642808.6	34573	CP-64  431 			354622	5130154
249252	Dor		9.440	.340	A9V	5h19'49.2000''	-65º35'29.360''	529.10						-.00210	.0081			J051949.20-653529.3	35446	CP-65  455 			354690	5190210
249260	Dor		9.230	.992	K0III/IV	5h22'36.2262''	-67º21'28.675''	617.28						.00321	-.0050			J052236.22-672128.6	35905	CP-67  426 			354719	5220101
249263	Dor		10.030	.502		5h23'7.9454''	-66º25'25.167''	236.41						.00290	-.0300			J052307.94-662525.1	269435	CP-66  408 			354724	5230192
249266	Dor		9.300	1.057		5h23'39.6562''	-69º30'11.022''	146.84						-.00223	.0178			J052339.65-693011.0	269474	CP-69  370 			354729	5230119
233981	Dor	lam Dor	5.130	.981	G6III	5h26'19.2677''	-58º54'45.073''	477.55						-.00106	.0322		25429	J052619.26-585445.0	36189	CP-59  472 	1836		334348	5260062
249279	Dor		9.890	-.030	B5Ia	5h26'45.3084''	-68º49'52.798''	134.95						-.00005	-.0001			J052645.30-684952.7	269546	CP-68  373 			354761	5260146
249282	Dor		7.990	1.087	K1III	5h28'1.2620''	-60º40'46.962''	913.24						-.00008	-.0568		25581	J052801.26-604046.9	36478	CP-60  425 			354772	5280007
249291	Dor		8.670	.202	A4V	5h29'11.2283''	-64º59'59.192''	703.23						.00230	.0281		25692	J052911.22-645959.1	36750	CP-65  476 			354782	5290036
249287	Dor		8.340	1.037	K1/2III	5h29'13.8347''	-61º55'17.135''	766.28						.00222	.0001		25693	J052913.83-615517.1	36660	CP-62  478 			354784	5290038
249294	Dor		8.000	.160	A2/3V	5h29'25.2363''	-66º26'20.543''	582.75						.00125	.0117		25713	J052925.23-662620.5	36849	CP-66  421 			354787	5290078
249311	Dor	bet Dor	3.760	.807	F6Ia	5h33'37.5177''	-62º29'23.371''	1061.57				bet_Dor	DCEP	.00015	.0126		26069	J053337.51-622923.3	37350	CP-62  487 	1922		354837	5330123
249311	Dor	bet Dor	3.760	.807	F6Ia	5h33'37.5177''	-62º29'23.371''	1061.57				bet_Dor	DCEP	.00015	.0126		26069	J053337.51-622923.3	37350	CP-62  487 	1922		354837	5330123
249326	Dor		9.680	.595	G0V	5h37'25.9421''	-68º43'44.318''	1388.89						.00197	-.0041			J053725.94-684344.3	269881	CP-68  403 			354871	5370101
249334	Dor		7.250	1.477	K3III	5h41'14.9231''	-68º46'12.683''	2380.95						.00030	-.0026			J054114.92-684612.6	38617	CP-68  418 			354908	5410056
249335	Dor		6.880	-.001	A1V	5h41'57.5277''	-62º54'49.514''	535.91						-.00058	.0100		26842	J054157.52-625449.5	38511	CP-62  506 			354916	5410219
249337	Dor		8.630	1.011	G5III	5h42'2.1660''	-68º42'41.624''	2380.95	1.100		174			-.00050	.0010			J054202.16-684241.6	38727	CP-68  420 		05420-6843	354918	5420012
249342	Dor		9.730	.198	A3III	5h43'58.2149''	-65º29'23.953''	432.90	2.700		24			.00134	.0108			J054358.21-652923.9	271517	CP-65  494 		05440-6529	354931	5430260
249343	Dor		9.840	.408		5h44'3.8423''	-69º29'6.944''	653.59						.00380	.0480			J054403.84-692906.9	270056	CP-69  517 			354932	5440009
249346	Dor	del Dor	4.340	.223	A7V	5h44'46.3788''	-65º44'7.893''	148.28						-.00460	.0061		27100	J054446.37-654407.8	39014	CP-65  496 	2015		354937	5440158
249363	Dor		9.190	1.574	M3(III)	5h47'59.6377''	-69º44'59.321''	258.40						.00036	.0122			J054759.63-694459.3	39674	CP-69  524 			354970	5470219
249371	Dor		8.350	.247	A1mA5-A8	5h50'19.7463''	-67º3'3.644''	587.89						-.00050	.0227		27570	J055019.74-670303.6	39903	CP-67  516 			355000	5500057
249389	Dor		9.450	.557	F6IV/V	5h53'8.6377''	-69º5'54.441''	952.38						.00143	-.0283			J055308.63-690554.4	40485	CP-69  540 			355046	5530224
249382	Dor		8.630	.126	A2V	5h53'25.0769''	-61º24'11.295''	680.27						-.00076	.0020			J055325.07-612411.2	40222	CP-61  543 			355053	5530101
249386	Dor		8.390	.964	K0IV	5h53'26.5412''	-64º40'5.063''	520.83						.00862	.0317		27840	J055326.54-644005.0	40342	CP-64  493 			355054	5530107
249385	Dor		7.720	.014	A1/2V	5h53'30.0864''	-63º18'59.874''	1736.11						-.00049	-.0062		27846	J055330.08-631859.8	40308	CP-63  497 			355055	5530125
249391	Dor		6.610	.402	F0III	5h54'11.9371''	-64º28'56.080''	428.45						-.00028	.0642		27897	J055411.93-642856.0	40455	CP-64  495 	2104		355063	5540043
249398	Dor		7.590	1.177	K2III	5h55'38.2713''	-68º2'48.458''	786.16						.00148	.0784		28026	J055538.27-680248.4	40810	CP-68  456 			355077	5550124
249400	Dor		8.790	.575	F8V	5h56'1.0328''	-67º3'58.661''	229.89						.00716	.1526			J055601.03-670358.6	40809	CP-67  531 			355080	5560004
249395	Dor		8.050	.357	F2IV/V	5h56'7.2696''	-61º26'50.030''	524.93						.00179	.0512		28077	J055607.26-612650.0	40645	CP-61  552 			355082	5560037
249403	Dor		7.980	.522	F6V	5h57'14.2077''	-69º28'40.459''	363.90						.00842	.0741		28179	J055714.20-692840.4	41158	CP-69  549 			355090	5570052
249436	Dor		9.440	.179	A3V	6h2'52.8569''	-69º25'51.860''	8333.33						.00062	.0090			J060252.85-692551.8	42102	CP-69  563 			355150	6020243
249435	Dor		7.250	.142	A2Vs	6h3'8.0246''	-67º18'36.186''	383.14						-.00245	-.0009			J060308.02-671836.1	42029	CP-67  549 			355155	6030025
249445	Dor		8.980	.299	F2IV	6h5'58.6949''	-65º18'25.871''	754.15						-.00171	.0177		28891	J060558.69-651825.8	42465	CP-65  549 			355181	6050216
249452	Dor		8.860	.164	A4V	6h6'20.3891''	-69º15'29.846''	644.75						-.00074	-.0143		28926	J060620.38-691529.8	42720	CP-69  572 			355185	6060078
249463	Dor		9.670	.538		6h10'2.8836''	-66º32'21.862''	1960.78						.00020	.0163			J061002.88-663221.8	271978	CP-66  498 			355219	6100013
249473	Dor		8.220	1.490	K4III	6h11'51.3884''	-65º32'54.307''	1388.89						-.00147	.0089		29415	J061151.38-653254.3	43551	CP-65  564 			355239	6110242
249486	Dor		7.280	.465	F5IV	6h13'40.9742''	-66º40'48.152''	406.50						-.00040	.0553		29559	J061340.97-664048.1	43921	CP-66  504 			355256	6130167
249491	Dor		8.870	.181	A2mA4-A8	6h14'57.4136''	-64º22'40.086''	1333.33						-.00139	.0103			J061457.41-642240.0	44045	CP-64  525 			355269	6140230
249497	Dor		7.340	-.100	B9IV	6h15'39.4737''	-66º17'32.175''	1103.75						.00059	.0125		29727	J061539.47-661732.1	44247	CP-66  507 			355276	6150161
249498	Dor		8.760	.189	A3V	6h15'42.9253''	-66º45'28.943''	223.71						.00057	.0111			J061542.92-664528.9	44279	CP-66  509 			355277	6150180
249501	Dor		7.500	1.256	K1III	6h16'41.9142''	-69º4'34.051''	850.34						.00193	-.0009		29812	J061641.91-690434.0	44578	CP-69  590 			355280	6160153
249506	Dor		7.600	.448	F3V	6h18'20.7358''	-69º9'44.429''	223.41						.00052	-.0493		29954	J061820.73-690944.4	44864	CP-69  593 			355291	6180069
249530	Dor		8.160	.533	F8IV/V	6h22'51.8107''	-64º32'35.817''	395.41						-.00460	.0981		30336	J062251.81-643235.8	45462	CP-64  547 			355340	6220198
249533	Dor		8.830	.950	K0IIICNII	6h23'10.7010''	-67º0'19.278''	963.39						.00239	.0485		30366	J062310.70-670019.2	45616	CP-66  531 			355344	6230041
249549	Dor		8.390	.445	F3IV/V	6h26'3.2500''	-64º19'49.078''	1515.15						-.00750	-.0180			J062603.25-641949.0	45985	CP-64  561 			355386	6260016
249555	Dor		9.690	.345	A7/8V	6h27'31.9999''	-66º40'40.013''	89.37						-.00018	.0230			J062731.99-664040.0	46314	CP-66  544 			355403	6270280
249582	Dor		8.270	.790	G8/K0V	6h31'56.7330''	-68º42'35.516''	92.46						-.01048	-.4504		31134	J063156.73-684235.5	47252	CP-68  536 			355461	6310232
249581	Dor		7.910	.078	A2V	6h32'19.3657''	-65º22'15.498''	656.17						-.00189	-.0101		31160	J063219.36-652215.4	47149	CP-65  618 			355465	6320076
249589	Dor		9.970	.228		6h34'17.1760''	-64º27'12.274''	320.51						.00036	.0060			J063417.17-642712.2		CP-64  585 			355481	6340278
6845	Dra		8.280	.587	G1V	9h26'28.7594''	+78º26'16.115''	173.61	29.200		172			.01023	.0276		46298	J092628.75+782616.1	80388	BD+79  305 		09265+7826	7380	9260056
6858	Dra		6.200	.111	A5Vs	9h27'51.5913''	+75º5'54.027''	484.50						-.00399	.0170		46410	J092751.59+750554.0	80930	BD+75  377 	3719		7390	9270136
1551	Dra		4.260	1.486	K3IIIa	9h37'5.2871''	+81º19'34.975''	1100.11						-.00741	-.0159		47193	J093705.28+811934.9	81817	BD+81  302 	3751		1634	9360149
6915	Dra		7.010	.326	F2V+F1V	9h37'56.2035''	+73º4'49.420''	231.96	5.000		127			-.00972	-.0203		47260	J093756.20+730449.4	82685	BD+73  470 	3806	09379+7305	400142	9370138
6917	Dra		6.649	1.068		9h38'41.9447''	+75º12'19.494''	578.70						.00042	-.0075		47330	J093841.94+751219.4	82701	BD+75  386 			7452	9380125
6953	Dra					9h46'0.6336''	+76º42'38.858''	771.60	2.000		132			-.00101	.0112		47925	J094600.63+764238.8	83746	BD+77  379 		09460+7643	7489	9450154
6956	Dra		6.090	.293	F0V:	9h47'18.0573''	+79º8'12.010''	425.71						-.00980	-.0259		48017	J094718.05+790812.0	83727	BD+79  319 	3847		7493	9470039
7068	Dra		8.910	.411		10h11'21.8426''	+73º2'12.575''	406.50	3.500		12			.00335	.0147		49905	J101121.84+730212.5	87851	BD+73  487 		10114+7302	7611	10110187
7098	Dra		6.530	.323	F2V	10h18'1.0719''	+73º4'24.647''	207.81						-.01323	-.0683		50447	J101801.07+730424.6	88815	BD+73  489 	4016		7645	10170140
7154	Dra		7.027	1.179		10h31'22.3275''	+73º19'50.900''	398.25						.01520	-.0045		51521	J103122.32+731950.9	90696	BD+74  436 			7703	10310050
7191	Dra		7.750	-.070		10h43'8.7170''	+77º24'42.406''	747.38						-.00957	.0039		52433	J104308.71+772442.4	92319	BD+78  359 			7746	10430016
7237	Dra		6.840	1.501	M3III	10h55'13.0212''	+77º5'15.244''	1078.75						-.01148	.0059		53389	J105513.02+770515.2	94190	BD+77  412 			7792	10550021
7255	Dra		6.190	.968	G9III	10h59'56.8252''	+77º46'12.627''	565.93						-.02212	-.0208		53761	J105956.82+774612.6	94860	BD+78  367 	4272		7813	10590165
7320	Dra		7.640	1.035		11h15'11.9019''	+73º28'30.740''	48.93	56.400		104			-.09466	.1120		54976	J111511.90+732830.7	97584	BD+74  456 		11152+7329	7880	11150174
15532	Dra	1lam Dra	3.810	1.610	M0IIICa-1	11h31'24.2205''	+69º19'51.873''	341.53						-.00777	-.0188	Gianfar	56211	J113124.22+691951.8	100029	BD+70  665 	4434		17889	11310052
7382	Dra		8.930	.549		11h35'18.3748''	+70º48'8.532''	923.36	6.600		110			-.00373	-.0216		56522	J113518.37+704808.5	100574	BD+71  576 		11353+7048		11350037
15606	Dra	3    Dra	5.310	1.265	K3III	11h42'28.3615''	+66º44'41.662''	657.46						-.00760	.0402		57111	J114228.36+664441.6	101673	BD+67  714 	4504		17979	11420061
7445	Dra		6.770	.573	F8V	11h53'43.0727''	+73º45'21.694''	190.59						-.01308	-.1278		57994	J115343.07+734521.6	103246	BD+74  476 		11537+7345	8026	11530103
15686	Dra		7.420	.327	F2V	12h0'37.5106''	+69º11'7.670''	651.04	.100		320			-.00440	-.0077		58567	J120037.51+691107.6	104288	BD+69  636 		12006+6911	18084	12000094
15709	Dra		7.360	1.060		12h5'33.5141''	+68º47'39.490''	816.99	10.200		167			-.00112	-.0278		58979	J120533.51+684739.4	105028	BD+69  642 		12056+6848	18117	12050081
15754	Dra		8.340	.609		12h16'38.3839''	+63º37'46.854''	233.10						-.04158	.0623		59866	J121638.38+633746.8	106811	BD+64  887 			18176	12160087
7536	Dra					12h16'47.1163''	+70º8'45.785''	503.52	2.200		6			.01061	.0009		59878	J121647.11+700845.7	106831	BD+70  690 		12168+7009	8124	12160103
15761	Dra		7.660	.840		12h18'0.2435''	+68º47'49.343''	572.74						-.02240	.0256		59975	J121800.24+684749.3	107028	BD+69  657 			18184	12180003
7575	Dra		6.969	1.033		12h30'53.5466''	+71º17'59.734''	611.62						-.00931	-.0134		61058	J123053.54+711759.7	109051	BD+72  569 			8167	12300125
7593	Dra	5kap Dra	3.890	-.120	B6IIIpe	12h33'28.9443''	+69º47'17.656''	508.91				kap_Dra	GCAS	-.01122	.0114		61281	J123328.94+694717.6	109387	BD+70  703 	4787		18276	12330061
7621	Dra		7.310	.988		12h39'26.6588''	+73º0'5.408''	579.71						.00051	-.0291		61759	J123926.65+730005.4	110234	BD+73  561 			8212	12390074
7663	Dra		7.310	1.260		12h47'59.4011''	+70º56'47.194''	510.46						.00710	-.0582		62455	J124759.40+705647.1	111420	BD+71  630 			8258	12470135
7695	Dra		6.979	.934		12h54'14.4785''	+75º24'33.463''	409.50						-.00398	.0002		62975	J125414.47+752433.4	112371	BD+76  470 			8287	12540039
15945	Dra		6.510	3.553	C4,5	12h56'25.9113''	+65º59'39.808''	1626.02						.00203	-.0098		63152	J125625.91+655939.8	112559	BD+66  780 			18429	12560064
15950	Dra		6.553	1.454		12h56'58.0140''	+67º14'34.308''	989.12						-.00359	.0120		63203	J125658.01+671434.3	112640	BD+68  703 			18436	12560146
15955	Dra		6.448	1.169		12h58'18.8500''	+64º55'31.921''	850.34						-.00284	.0121		63297	J125818.85+645531.9	112826	BD+65  913 			18444	12580046
15960	Dra	9    Dra	5.370	1.282	K2III	12h59'55.0707''	+66º35'50.179''	589.97						-.02346	-.0146		63432	J125955.07+663550.1	113092	BD+67  773 	4928		18451	12590142
16162	Dra		8.050	.478		13h44'25.2466''	+69º13'11.818''	391.70	9.000		204			.00650	-.0152		67046	J134425.24+691311.8	120032	BD+69  716 		13444+6913	18712	13440067
16199	Dra	10    Dra	4.610	1.544	M3.5III	13h51'25.9396''	+64º43'23.778''	400.16	54.800		26			.00023	-.0046		67627	J135125.93+644323.7	121130	BD+65  963 	5226	13514+6443	18763	13510057
16225	Dra		7.590	.660		13h56'25.2319''	+65º21'2.689''	179.60						-.00247	-.2851		68085	J135625.23+652102.6	121953	BD+66  825 			18797	13560063
16229	Dra		7.320	.510		13h57'3.8834''	+62º47'32.329''	405.02						-.01042	.0295		68142	J135703.88+624732.3	122020	BD+63 1105 			18799	13570003
16234	Dra		7.051	1.022		13h58'28.8201''	+64º53'37.911''	597.37						.00138	.0026		68266	J135828.82+645337.9	122251	BD+65  966 			18808	13580057
16273	Dra	11alp Dra	3.650	-.032	A0III	14h4'23.3498''	+64º22'33.062''	315.66						-.00871	.0172	THUBAN	68756	J140423.34+642233.0	123299	BD+65  978 	5291		18861	14040058
16360	Dra		7.670	1.089		14h22'46.9603''	+64º16'33.530''	489.48						.00327	-.0423		70283	J142246.96+641633.5	126439	BD+64  997 			18985	14220114
16433	Dra		7.450	1.123		14h34'30.4868''	+63º12'56.998''	577.70						-.00836	-.0322		71267	J143430.48+631256.9	128492	BD+63 1141 			19073	14340081
29244	Dra		7.430	.930		14h41'0.8524''	+57º57'28.082''	176.55	7.600		47			.01741	-.1623		71782	J144100.85+575728.0	129580	BD+58 1523p		14410+5757	34638	14410001
16478	Dra		6.870	.406		14h44'3.5549''	+61º5'53.789''	297.89	9.100		83			.00568	-.0324		72029	J144403.55+610553.7	130173	BD+61 1454 		14441+6106	19129	14440006
29315	Dra		5.480	1.372	K4III	14h51'26.4366''	+59º17'38.348''	451.67						-.01578	.1370		72664	J145126.43+591738.3	131507	BD+59 1615 	5552		34720	14510080
29354	Dra		7.232	.465		14h57'20.6236''	+57º38'56.893''	342.23						-.00482	-.0295		73175	J145720.62+573856.8	132560	BD+58 1539 			34769	14570051
16594	Dra		7.675	.416		15h6'18.2810''	+59º49'30.447''	524.93						.00375	-.0487		73915	J150618.28+594930.4	134301	BD+60 1589 			34828	15060050
29421	Dra		7.720	1.520		15h8'15.1290''	+57º39'25.282''	1455.60						.00183	-.0266		74074	J150815.12+573925.2	134607	BD+58 1552 			34843	15080038
16685	Dra		7.400	.575		15h19'18.7237''	+61º22'29.835''	215.19						-.00521	-.0173		74976	J151918.72+612229.8	136749	BD+61 1495 			19392	15190044
29520	Dra	12iot Dra	3.300	1.176	K2III	15h24'55.7747''	+58º57'57.836''	104.43	254.600		50			-.00107	.0173	Ed Asich	75458	J152455.77+585757.8	137759	BD+59 1654 	5744	15249+5858	34972	15240162
29542	Dra		6.910	.488	F6IV-V	15h28'51.9268''	+57º26'42.646''	143.68	16.200		49			-.03233	.1649		75783	J152851.92+572642.6	138367	BD+57 1590 		15289+5727	34997	15280160
16746	Dra		6.310	1.368	K4III	15h29'21.0945''	+62º5'58.306''	695.89						-.00405	-.0089		75822	J152921.09+620558.3	138524	BD+62 1416 	5768		19461	15290057
29605	Dra		7.880	.941		15h38'42.3031''	+57º31'14.578''	1038.42	234.800		335			.00143	-.0058		76609	J153842.30+573114.5	140024	BD+57 1598 		15389+5728	35064	15380102
16806	Dra		7.566	1.538		15h39'50.4806''	+64º39'42.640''	1068.38						.00122	.0044		76709	J153950.48+643942.6	140453	BD+65 1069 			19536	15390127
29643	Dra		7.380	.360		15h44'42.0342''	+58º26'1.121''	221.78						-.01028	.0455		77110	J154442.03+582601.1	141173	BD+58 1591 			35112	15440139
29644	Dra		9.610	.195		15h44'54.9567''	+59º25'43.003''	178.25	19.200		72			.00160	.0050			J154454.95+592543.0	141242	BD+59 1674 		15449+5926	35114	15440178
29646	Dra		9.850	.267		15h44'57.3253''	+59º25'49.376''	225.23	19.200		72			-.00070	.0010			J154457.32+592549.3	141242	BD+59 1674 		15449+5926	35115	15440222
16848	Dra		5.200	.052	A2IV	15h46'40.0053''	+62º35'58.405''	277.78						.00579	-.0565		77277	J154640.00+623558.4	141653	BD+63 1225 	5886		19587	15460111
16870	Dra		7.219	.019		15h50'8.0208''	+64º47'58.893''	755.86						-.00005	.0071		77564	J155008.02+644758.8	142342	BD+65 1081 			19612	15500023
29691	Dra		6.860	.082		15h51'10.0784''	+52º54'25.168''	433.46	6.500		278			-.00088	-.0031		77652	J155110.07+525425.1	142282	BD+53 1816 		15511+5254	400210	15510029
29765	Dra	13the Dra	4.010	.542	F8IV	16h1'53.3457''	+58º33'54.905''	69.75						-.04092	.3350		78527	J160153.34+583354.9	144284	BD+58 1608 	5986		35254	16010149
29763	Dra		5.910	1.497	gK5	16h2'5.5584''	+52º54'57.302''	837.52						.00020	-.0366		78542	J160205.55+525457.3	144204	BD+53 1834 	5981		35257	16020011
29780	Dra		6.821	1.004		16h3'41.5230''	+59º5'22.650''	456.62						-.00229	-.0106		78676	J160341.52+590522.6	144654	BD+59 1698 			35270	16030108
16958	Dra		7.093	1.276		16h6'5.7544''	+64º41'14.267''	769.82						-.00621	.0407		78876	J160605.75+644114.2	145310	BD+65 1098 			19731	16060015
16979	Dra		6.887	.112		16h9'23.5314''	+63º24'27.497''	690.13						.00071	-.0133		79161	J160923.53+632427.4	145870	BD+63 1253 			19753	16090072
29825	Dra		6.420	1.074	K0III	16h9'25.9735''	+55º49'44.309''	447.43						-.00388	.0232		79164	J160925.97+554944.3	145694	BD+56 1867 	6038		35328	16090082
29858	Dra		6.950	.380		16h15'47.2817''	+53º14'12.019''	286.37						.00141	-.0619		79685	J161547.28+531412.0	146870	BD+53 1856 			35369	16150112
17026	Dra		8.610	1.410		16h16'42.7461''	+67º14'19.847''	35.54	64.100		13			-.08580	.0859		79755	J161642.74+671419.8	147379	BD+67  935 		16167+6714	19804	16160119
17036	Dra		6.360	1.342		16h18'9.7691''	+68º33'16.362''	607.16						-.00450	.0449		79867	J161809.76+683316.3	147662	BD+68  868 	6101		19819	16180033
29901	Dra		7.540	1.041		16h20'19.6703''	+59º46'14.913''	757.58						-.00057	-.0158		80045	J162019.67+594614.9	147764	BD+60 1669 			35411	16200069
17053	Dra		9.620	.541		16h20'53.8799''	+64º21'45.780''	181.16	8.100		224			-.00300	-.0380			J162053.87+642145.7	147995	BD+64 1124 		16209+6422	19841	16200169
17062	Dra		5.270	1.113	K2III	16h21'48.7112''	+69º6'33.809''	300.57						-.00346	-.0106		80161	J162148.71+690633.8	148293	BD+69  845 	6126		19847	16210147
17074	Dra	14eta Dra	2.730	.914	G8-IIIab	16h23'59.4861''	+61º30'51.167''	89.65	5.200		142			-.00237	.0567		80331	J162359.48+613051.1	148387	BD+61 1591 	6132	16240+6131	19869	16230156
29930	Dra		6.940	.550		16h24'17.4422''	+55º19'55.108''	141.78						-.00039	-.3236		80364	J162417.44+551955.1	148329	BD+55 1844 			35447	16240051
29934	Dra		7.350	.230		16h25'0.2635''	+51º42'59.801''	386.25						.00000	.0196		80427	J162500.26+514259.8	148364	BD+52 1965 			35456	16250002
17152	Dra		7.590	1.256		16h34'35.6868''	+63º15'32.260''	457.25						-.01926	.0782		81162	J163435.68+631532.2	150076	BD+63 1284 			19953	16340093
